date,blood_group,demand,day_of_week,month,is_weekend,weekend_factor,seasonal_factor
2024-08-23 21:20:50.701916,O+,58,4,8,False,1.0,1.0
2024-08-23 21:20:50.701916,O-,17,4,8,False,1.0,1.0
2024-08-23 21:20:50.701916,A+,29,4,8,False,1.0,1.0
2024-08-23 21:20:50.701916,A-,6,4,8,False,1.0,1.0
2024-08-23 21:20:50.701916,B+,19,4,8,False,1.0,1.0
2024-08-23 21:20:50.701916,B-,4,4,8,False,1.0,1.0
2024-08-23 21:20:50.701916,AB+,16,4,8,False,1.0,1.0
2024-08-23 21:20:50.701916,AB-,2,4,8,False,1.0,1.0
2024-08-24 21:20:50.701916,O+,23,5,8,True,0.7,1.0
2024-08-24 21:20:50.701916,O-,12,5,8,True,0.7,1.0
2024-08-24 21:20:50.701916,A+,28,5,8,True,0.7,1.0
2024-08-24 21:20:50.701916,A-,6,5,8,True,0.7,1.0
2024-08-24 21:20:50.701916,B+,16,5,8,True,0.7,1.0
2024-08-24 21:20:50.701916,B-,4,5,8,True,0.7,1.0
2024-08-24 21:20:50.701916,AB+,8,5,8,True,0.7,1.0
2024-08-24 21:20:50.701916,AB-,2,5,8,True,0.7,1.0
2024-08-25 21:20:50.701916,O+,20,6,8,True,0.7,1.0
2024-08-25 21:20:50.701916,O-,12,6,8,True,0.7,1.0
2024-08-25 21:20:50.701916,A+,13,6,8,True,0.7,1.0
2024-08-25 21:20:50.701916,A-,4,6,8,True,0.7,1.0
2024-08-25 21:20:50.701916,B+,25,6,8,True,0.7,1.0
2024-08-25 21:20:50.701916,B-,5,6,8,True,0.7,1.0
2024-08-25 21:20:50.701916,AB+,12,6,8,True,0.7,1.0
2024-08-25 21:20:50.701916,AB-,1,6,8,True,0.7,1.0
2024-08-26 21:20:50.701916,O+,34,0,8,False,1.0,1.0
2024-08-26 21:20:50.701916,O-,14,0,8,False,1.0,1.0
2024-08-26 21:20:50.701916,A+,27,0,8,False,1.0,1.0
2024-08-26 21:20:50.701916,A-,5,0,8,False,1.0,1.0
2024-08-26 21:20:50.701916,B+,29,0,8,False,1.0,1.0
2024-08-26 21:20:50.701916,B-,5,0,8,False,1.0,1.0
2024-08-26 21:20:50.701916,AB+,13,0,8,False,1.0,1.0
2024-08-26 21:20:50.701916,AB-,2,0,8,False,1.0,1.0
2024-08-27 21:20:50.701916,O+,41,1,8,False,1.0,1.0
2024-08-27 21:20:50.701916,O-,11,1,8,False,1.0,1.0
2024-08-27 21:20:50.701916,A+,40,1,8,False,1.0,1.0
2024-08-27 21:20:50.701916,A-,8,1,8,False,1.0,1.0
2024-08-27 21:20:50.701916,B+,22,1,8,False,1.0,1.0
2024-08-27 21:20:50.701916,B-,6,1,8,False,1.0,1.0
2024-08-27 21:20:50.701916,AB+,12,1,8,False,1.0,1.0
2024-08-27 21:20:50.701916,AB-,1,1,8,False,1.0,1.0
2024-08-28 21:20:50.701916,O+,42,2,8,False,1.0,1.0
2024-08-28 21:20:50.701916,O-,13,2,8,False,1.0,1.0
2024-08-28 21:20:50.701916,A+,34,2,8,False,1.0,1.0
2024-08-28 21:20:50.701916,A-,8,2,8,False,1.0,1.0
2024-08-28 21:20:50.701916,B+,20,2,8,False,1.0,1.0
2024-08-28 21:20:50.701916,B-,4,2,8,False,1.0,1.0
2024-08-28 21:20:50.701916,AB+,11,2,8,False,1.0,1.0
2024-08-28 21:20:50.701916,AB-,2,2,8,False,1.0,1.0
2024-08-29 21:20:50.701916,O+,37,3,8,False,1.0,1.0
